Time,ADC value,"Voltage, V","Resistance, Om","Temperature,°C","Humidity, %% rH","Pressure, hPa"
2021/06/23 18:59:34.076067,30243,1.154,23689.3,32.44,31.99,996.8
2021/06/23 18:59:39.075124,30062,1.147,25021.5,32.45,31.67,996.75
2021/06/23 18:59:44.075073,30009,1.145,25440.5,32.44,31.85,996.8
2021/06/23 18:59:49.075153,30000,1.144,25513.0,32.44,31.87,996.71
2021/06/23 18:59:54.075145,30017,1.145,25376.3,32.45,31.79,996.72
2021/06/23 18:59:59.075103,30040,1.146,25193.7,32.44,31.94,996.82
2021/06/23 19:00:04.075118,30069,1.147,24967.2,32.44,32.29,996.82
2021/06/23 19:00:09.075153,30096,1.148,24760.0,32.44,32.24,996.74
2021/06/23 19:00:14.075158,30124,1.149,24548.6,32.44,32.01,996.77
2021/06/23 19:00:19.075170,30149,1.15,24363.0,32.43,31.5,996.74
2021/06/23 19:00:24.075116,30169,1.151,24216.4,32.42,31.43,996.73
2021/06/23 19:00:29.075118,30194,1.152,24035.7,32.42,31.57,996.71
2021/06/23 19:00:34.075176,30212,1.152,23907.3,32.41,31.72,996.72
2021/06/23 19:00:39.075103,30228,1.153,23794.3,32.41,31.63,996.8
2021/06/23 19:00:44.075134,30247,1.154,23661.4,32.4,31.6,996.76
2021/06/23 19:00:49.075169,30267,1.155,23523.2,32.4,31.38,996.76
2021/06/23 19:00:54.075100,30284,1.155,23407.0,32.39,31.06,996.7
2021/06/23 19:00:59.075143,30300,1.156,23298.6,32.38,31.02,996.74
2021/06/23 19:01:04.075193,30310,1.156,23231.4,32.36,31.07,996.72
2021/06/23 19:01:09.075241,30318,1.157,23177.9,32.34,31.12,996.74
2021/06/23 19:01:14.076442,30325,1.157,23131.3,32.32,31.21,996.79
2021/06/23 19:01:19.075415,30314,1.156,23204.6,32.3,31.19,996.78
2021/06/23 19:01:24.075134,30314,1.156,23204.6,32.28,31.6,996.67
2021/06/23 19:01:29.075191,30322,1.157,23151.3,32.27,31.95,996.8
2021/06/23 19:01:34.075201,30328,1.157,23111.4,32.28,31.97,996.75
2021/06/23 19:01:39.075150,30335,1.157,23065.1,32.27,32.1,996.74
2021/06/23 19:01:44.075150,30336,1.157,23058.5,32.27,32.15,996.69
2021/06/23 19:01:49.075192,30339,1.157,23038.7,32.26,32.18,996.77
2021/06/23 19:01:54.075175,30337,1.157,23051.9,32.26,32.24,996.74
2021/06/23 19:01:59.075167,30325,1.157,23131.3,32.25,32.16,996.71
2021/06/23 19:02:04.075239,30310,1.156,23231.4,32.25,32.43,996.75
2021/06/23 19:02:09.075169,30301,1.156,23291.9,32.25,32.41,996.7
2021/06/23 19:02:14.075168,30301,1.156,23291.9,32.25,31.7,996.73
2021/06/23 19:02:19.075197,30301,1.156,23291.9,32.24,31.62,996.77
2021/06/23 19:02:24.075181,30294,1.156,23339.1,32.23,31.75,996.75
2021/06/23 19:02:29.075151,30294,1.156,23339.1,32.23,31.99,996.78
2021/06/23 19:02:34.075221,30296,1.156,23325.6,32.21,31.98,996.77
2021/06/23 19:02:39.075234,30284,1.155,23407.0,32.18,31.27,996.76
2021/06/23 19:02:44.075185,30278,1.155,23447.9,32.14,31.24,996.83
2021/06/23 19:02:49.075223,30258,1.154,23585.2,32.11,31.86,996.7
2021/06/23 19:02:54.075208,30249,1.154,23647.5,32.09,31.88,996.77
2021/06/23 19:02:59.075178,30242,1.154,23696.3,32.09,32.03,996.77
2021/06/23 19:03:04.075233,30245,1.154,23675.4,32.08,32.06,996.78
2021/06/23 19:03:09.075224,30249,1.154,23647.5,32.07,31.89,996.8
2021/06/23 19:03:14.075183,30246,1.154,23668.4,32.06,32.12,996.78
2021/06/23 19:03:19.075311,30234,1.153,23752.2,32.05,32.11,996.73
2021/06/23 19:03:24.075184,30224,1.153,23822.4,32.02,31.96,996.75
2021/06/23 19:03:29.075271,30215,1.153,23886.0,32.02,32.03,996.79
2021/06/23 19:03:34.075980,30202,1.152,23978.5,31.99,31.72,996.81
2021/06/23 19:03:39.075268,30199,1.152,23999.9,31.98,32.08,996.77
2021/06/23 19:03:44.075583,30195,1.152,24028.6,31.98,31.77,996.82
2021/06/23 19:03:49.075212,30189,1.152,24071.7,31.96,31.76,996.76
2021/06/23 19:03:54.075210,30191,1.152,24057.3,31.96,32.19,996.79
2021/06/23 19:03:59.075197,30189,1.152,24071.7,31.94,31.94,996.76
2021/06/23 19:04:04.075272,30186,1.152,24093.3,31.94,32.09,996.81
2021/06/23 19:04:09.075316,30178,1.151,24151.1,31.92,31.78,996.85
2021/06/23 19:04:14.075203,30172,1.151,24194.6,31.91,32.34,996.74
2021/06/23 19:04:19.075285,30164,1.151,24252.9,31.92,32.15,996.8
2021/06/23 19:04:24.075311,30146,1.15,24385.1,31.9,32.09,996.77
2021/06/23 19:04:29.075214,30142,1.15,24414.7,31.91,32.28,996.92
2021/06/23 19:04:34.075229,30137,1.15,24451.7,31.9,32.58,996.82
2021/06/23 19:04:39.075438,30134,1.15,24474.0,31.9,32.55,996.77
2021/06/23 19:04:44.075217,30129,1.149,24511.3,31.92,32.21,996.88
2021/06/23 19:04:49.075246,30124,1.149,24548.6,31.91,32.18,996.86
2021/06/23 19:04:54.075424,30122,1.149,24563.6,31.9,32.21,996.86
2021/06/23 19:04:59.075230,30123,1.149,24556.1,31.9,31.89,996.74
2021/06/23 19:05:04.075261,30124,1.149,24548.6,31.9,32.13,996.79
2021/06/23 19:05:09.075439,30121,1.149,24571.1,31.9,32.42,996.82
2021/06/23 19:05:14.075234,30124,1.149,24548.6,31.9,32.45,996.83
2021/06/23 19:05:19.075264,30124,1.149,24548.6,31.9,32.13,996.82
2021/06/23 19:05:24.075341,30121,1.149,24571.1,31.9,31.7,996.77
2021/06/23 19:05:29.075244,30128,1.149,24518.7,31.9,31.57,996.87
2021/06/23 19:05:34.075702,30118,1.149,24593.6,31.89,31.7,996.83
2021/06/23 19:05:39.075303,30125,1.149,24541.1,31.9,32.15,996.85
2021/06/23 19:05:44.075528,30125,1.149,24541.1,31.91,32.23,996.78
2021/06/23 19:05:49.075293,30120,1.149,24578.6,31.91,31.94,996.79
2021/06/23 19:05:54.075253,30108,1.149,24668.9,31.9,31.76,996.86
2021/06/23 19:05:59.075256,30102,1.148,24714.4,31.92,31.94,996.88
2021/06/23 19:06:04.075282,30086,1.148,24836.3,31.92,31.91,996.83
2021/06/23 19:06:09.075259,30074,1.147,24928.6,31.91,32.0,996.79
2021/06/23 19:06:14.075307,30069,1.147,24967.2,31.92,31.89,996.75
2021/06/23 19:06:19.075281,30068,1.147,24975.0,31.92,31.83,996.81
2021/06/23 19:06:24.075262,30058,1.147,25052.7,31.94,31.88,996.83
2021/06/23 19:06:29.075265,30047,1.146,25138.7,31.94,31.97,996.83
2021/06/23 19:06:34.075334,30033,1.146,25249.0,31.92,31.68,996.83
2021/06/23 19:06:39.075274,30016,1.145,25384.3,31.91,31.72,996.76
2021/06/23 19:06:44.075271,29996,1.144,25545.4,31.91,31.86,996.84
2021/06/23 19:06:49.075299,29978,1.144,25692.1,31.89,31.61,996.78
2021/06/23 19:06:54.075293,29958,1.143,25857.1,31.86,31.69,996.79
2021/06/23 19:06:59.075334,29938,1.142,26024.2,31.86,31.65,996.82
2021/06/23 19:07:04.075316,29920,1.141,26176.4,31.85,31.72,996.83
2021/06/23 19:07:09.075304,29911,1.141,26253.2,31.86,31.84,996.78
