timestamp,ADC,V,T,rH,aH,P,fanSpeed,CH4Ref,CH4,V0,Rs/R0,CH4LR,variance
2022-05-23 13:32:04.081605,28930,1.10359,9.6,77.0,0.00709,1002.4,0,2.028,0.057,1.1187,1.18988,-0.293,2.32
2022-05-23 13:42:34.307187,29078,1.10924,11.2,79.9,0.0081,1002.2,0,2.111,0.84,1.12473,1.18168,0.508,1.6
2022-05-23 13:48:00.359697,29106,1.11031,11.3,77.8,0.00794,1002.2,0,2.204,0.895,1.12512,1.17157,0.563,1.64
2022-05-23 13:52:52.027168,29128,1.11115,11.0,78.4,0.00786,1002.1,0,2.44,1.252,1.12395,1.14684,0.928,1.51
2022-05-23 13:58:00.731416,29129,1.11118,10.6,76.8,0.0075,1002.2,0,2.655,1.303,1.12241,1.12883,0.981,1.67
2022-05-23 14:02:08.064942,29123,1.11095,10.1,77.4,0.00735,1002.3,0,2.86,1.526,1.12053,1.11022,1.208,1.65
2022-05-23 14:10:07.211461,29099,1.11004,9.1,80.1,0.00712,1002.2,0,3.032,1.922,1.11692,1.07997,1.613,1.42
2022-05-23 14:14:12.054345,29116,1.11069,9.2,85.2,0.00764,1002.3,0,3.256,2.45,1.11727,1.07594,2.152,1.1
2022-05-23 14:19:39.053447,29171,1.11279,9.8,88.8,0.00822,1002.2,0,3.573,2.973,1.11943,1.07478,2.687,0.89
2022-05-23 14:24:05.136879,29216,1.1145,10.2,89.9,0.0086,1002.2,0,3.763,3.395,1.12091,1.07078,3.119,0.64
2022-05-23 14:29:43.939867,29271,1.1166,10.8,92.4,0.00914,1002.3,0,4.101,3.858,1.12318,1.07101,3.592,0.51
2022-05-23 14:34:23.006027,29334,1.119,11.2,94.0,0.00958,1002.2,0,4.522,4.527,1.12473,1.06027,4.276,0.25
2022-05-23 14:43:12.780061,29391,1.12118,11.6,91.4,0.00952,1002.2,0,5.102,4.681,1.12631,1.05274,4.433,0.67
2022-05-23 14:49:05.765940,29416,1.12213,11.3,91.1,0.0093,1002.1,0,5.517,5.115,1.12512,1.03045,4.877,0.64
2022-05-23 14:54:14.755178,29420,1.12228,11.0,89.5,0.00896,1002.1,0,6.02,5.185,1.12395,1.01697,4.947,1.07
2022-05-23 14:59:02.840196,29430,1.12267,10.7,89.7,0.00883,1002.2,0,6.621,5.538,1.12279,1.00125,5.308,1.31
2022-05-23 15:04:03.026771,29436,1.12289,10.3,87.6,0.00839,1002.4,0,7.035,5.629,1.12128,0.98371,5.401,1.63
2022-05-23 15:09:54.985351,29459,1.12377,9.8,91.6,0.0085,1002.3,0,7.643,6.691,1.11943,0.95649,6.487,1.16
2022-05-23 15:14:05.281143,29451,1.12347,9.5,89.1,0.00815,1002.3,0,8.052,6.564,1.11834,0.94845,6.358,1.69
2022-05-23 15:19:55.348146,29478,1.1245,9.3,93.0,0.00837,1002.3,0,8.523,7.479,1.11763,0.93162,7.293,1.23
2022-05-23 15:24:03.456974,29529,1.12644,9.5,94.4,0.00862,1002.3,0,9.303,8.242,1.11834,0.92095,8.072,1.23
2022-05-23 15:29:03.453756,29569,1.12797,10.0,95.0,0.00894,1002.3,0,9.539,8.491,1.12016,0.92492,8.327,1.21
2022-05-23 15:35:21.516132,29621,1.12995,10.5,92.7,0.00899,1002.3,0,10.008,8.541,1.12203,0.92527,8.378,1.63
2022-05-23 15:55:50.200876,29684,1.13235,8.8,94.4,0.00826,1002.3,0,12.85,11.281,1.11587,0.84795,11.178,1.67
2022-05-23 16:32:56.056095,29786,1.13625,11.6,86.3,0.00904,1002.0,0,10.882,9.226,1.12631,0.9114,9.077,1.8
2022-05-23 16:37:24.782409,29832,1.138,11.7,85.7,0.00899,1002.0,0,11.963,9.648,1.1267,0.90091,9.51,2.45
2022-05-23 16:43:35.873334,29823,1.13766,11.2,84.3,0.00855,1001.9,0,12.87,9.729,1.12473,0.88621,9.592,3.28
2022-05-23 16:49:46.486885,29846,1.13853,10.4,84.2,0.00814,1002.0,0,14.152,10.824,1.12165,0.85266,10.711,3.44
2022-05-23 16:54:29.047695,29905,1.14079,9.9,87.3,0.00818,1002.0,0,16.065,12.791,1.1198,0.82024,12.721,3.34
2022-05-23 17:01:44.827688,29917,1.14124,9.6,87.1,0.00802,1002.0,0,17.013,13.298,1.1187,0.80777,13.239,3.77
2022-05-23 17:05:13.066765,29954,1.14265,9.4,90.1,0.00815,1002.0,0,18.037,14.626,1.11798,0.79211,14.597,3.44
2022-05-23 17:09:23.504140,29995,1.14422,9.3,89.6,0.0081,1002.0,0,19.002,15.507,1.11763,0.7788,15.497,3.5
2022-05-23 17:14:05.833279,30014,1.14494,9.1,91.2,0.0081,1002.0,0,20.085,16.325,1.11692,0.76832,16.333,3.75
2022-05-23 17:25:10.231832,29172,1.11282,9.0,71.5,0.00633,1001.9,0,2.325,1.995,1.11657,1.04222,1.688,0.64
2022-05-23 17:34:11.180584,29610,1.12953,9.4,73.4,0.00665,1001.9,0,11.057,6.772,1.11798,0.89059,6.57,4.49
2022-05-23 17:38:07.644562,29645,1.13087,9.5,74.2,0.00676,1001.9,0,12.038,7.248,1.11834,0.88278,7.056,4.98
2022-05-23 17:44:13.769443,29689,1.13255,9.1,76.8,0.00686,1001.9,0,13.282,8.579,1.11692,0.85602,8.417,4.86
2022-05-23 17:48:28.749433,29726,1.13396,9.1,84.2,0.00748,1002.0,0,14.366,10.142,1.11692,0.84504,10.014,4.35
2022-05-23 17:52:30.081908,29780,1.13602,9.4,88.4,0.00804,1001.9,0,15.014,11.418,1.11798,0.83899,11.318,3.7
2022-05-23 17:56:32.415977,29842,1.13838,10.0,91.1,0.00858,1001.9,0,16.026,12.234,1.12016,0.84074,12.152,3.87
2022-05-23 18:00:19.934945,29934,1.14189,10.5,92.4,0.00902,1001.9,0,17.094,13.562,1.12203,0.83156,13.509,3.59
2022-05-23 18:03:39.007048,30014,1.14494,11.0,92.3,0.00929,1001.9,0,18.257,14.378,1.12395,0.82642,14.343,3.91
2022-05-23 18:05:04.829024,30032,1.14563,11.1,92.1,0.00933,1001.9,0,18.248,14.551,1.12434,0.82493,14.52,3.73
2022-05-23 18:11:42.491632,30185,1.15147,11.8,90.4,0.00956,1001.9,0,20.292,16.129,1.12711,0.80886,16.133,4.16
2022-05-23 18:14:56.433841,30388,1.15921,12.0,89.0,0.00952,1001.9,0,25.259,19.392,1.12791,0.76853,19.467,5.79
2022-05-23 18:20:59.763515,30573,1.16627,12.0,88.7,0.00946,1001.9,0,30.117,23.066,1.12791,0.73039,23.223,6.89
2022-05-23 18:24:43.215220,31068,1.18515,11.8,87.0,0.00918,1001.8,0,46.576,34.869,1.12711,0.63981,35.285,11.29
2022-05-24 16:49:09.578637,29100,1.11008,7.0,77.8,0.00606,1005.4,0,2.087,2.695,1.10999,0.999,2.403,-0.32
