timestamp,ADC,V,T,rH,aH,P,fanSpeed,CH4Ref,CH4,V0,Rs/R0,CH4LR
2022-05-23 14:43:12.780061,29391,1.12118,11.6,91.4,0.00952,1002.2,0,5.102,4.789,1.13008,1.09156,4.779
2022-05-24 13:39:32.343811,28814,1.09917,6.0,38.2,0.00279,1005.0,0,3.488,4.140,1.10499,1.07737,4.128
2022-05-24 13:44:29.046502,28816,1.09924,5.9,38.6,0.00279,1005.1,0,3.715,4.211,1.10454,1.07041,4.199
2022-05-24 13:50:10.265174,28840,1.10016,6.1,38.5,0.00283,1005.1,0,4.057,4.515,1.10543,1.06924,4.504
2022-05-24 13:54:58.414805,28861,1.10096,6.1,38.5,0.00283,1005.0,0,4.517,4.891,1.10543,1.05813,4.882
2022-05-24 13:59:46.291133,28882,1.10176,6.2,38.8,0.00285,1005.0,0,4.968,5.208,1.10588,1.05301,5.200
2022-05-24 14:04:50.088561,28896,1.10229,6.0,39.1,0.00285,1005.0,0,5.580,5.550,1.10499,1.03443,5.543
2022-05-24 14:09:31.782250,28930,1.10359,6.1,39.2,0.00287,1005.1,0,6.211,6.125,1.10543,1.02316,6.120
2022-05-24 15:20:05.696988,28975,1.10531,5.9,76.0,0.00549,1005.3,0,3.593,3.490,1.10454,0.99050,3.476
2022-05-24 15:35:28.308313,29054,1.10832,5.8,83.8,0.00604,1005.2,0,4.509,3.886,1.10409,0.94983,3.873
2022-05-24 15:39:32.800468,29077,1.10920,5.7,82.4,0.00590,1005.3,0,5.048,4.442,1.10364,0.93476,4.431
2022-05-24 15:44:36.567721,29108,1.11038,5.8,84.5,0.00606,1005.3,0,5.443,4.698,1.10409,0.92718,4.688
2022-05-24 15:49:27.452387,29128,1.11115,5.5,83.6,0.00589,1005.3,0,6.047,5.228,1.10275,0.90356,5.220
2022-05-24 17:16:04.886962,29040,1.10779,6.3,97.0,0.00721,1005.5,0,2.836,2.118,1.10633,0.98257,2.099
2022-05-24 17:21:06.588294,29057,1.10844,6.3,97.7,0.00728,1005.6,0,3.118,2.246,1.10633,0.97501,2.227
2022-05-24 17:26:30.405123,29063,1.10867,6.2,98.3,0.00727,1005.6,0,3.276,2.301,1.10588,0.96707,2.282
2022-05-24 18:01:09.889297,29242,1.11549,6.5,99.0,0.00744,1005.7,0,5.814,4.694,1.10723,0.90967,4.684
2022-05-24 18:06:06.767894,29258,1.11610,6.4,99.6,0.00747,1005.6,0,6.107,4.835,1.10678,0.89878,4.825
2022-05-24 18:11:50.488926,29279,1.11691,6.3,100.0,0.00743,1005.6,0,6.509,5.178,1.10633,0.88612,5.170
2022-05-24 19:02:32.605229,29354,1.11977,6.6,98.8,0.00744,1005.7,0,7.412,6.494,1.10767,0.87370,6.491
2022-05-24 19:08:13.204795,29410,1.12190,6.9,100.0,0.00775,1005.7,0,7.991,6.950,1.10902,0.86842,6.948
2022-05-24 19:13:19.524098,29441,1.12309,7.0,100.0,0.00777,1005.7,0,8.553,7.475,1.10947,0.86251,7.475
2022-05-24 19:19:01.723400,29447,1.12331,6.7,100.0,0.00762,1005.7,0,8.960,7.725,1.10812,0.84707,7.725
2022-05-24 19:24:12.051503,29471,1.12423,6.6,100.0,0.00757,1005.6,0,9.444,8.187,1.10767,0.83482,8.189
2022-05-24 19:29:26.752552,29487,1.12484,6.5,100.0,0.00755,1005.6,0,9.984,8.448,1.10723,0.82533,8.452
2022-05-24 19:34:44.321688,29560,1.12762,6.6,100.0,0.00759,1005.7,0,11.306,9.716,1.10767,0.80751,9.724
2022-05-24 19:39:38.164407,29610,1.12953,6.8,100.0,0.00768,1005.7,0,12.121,10.548,1.10857,0.80138,10.559
2022-05-24 20:04:16.500840,29832,1.13800,6.5,100.0,0.00754,1005.5,0,16.910,15.154,1.10723,0.73005,15.181
2022-05-24 20:09:01.909799,29859,1.13903,6.2,100.0,0.00740,1005.5,0,17.946,15.910,1.10588,0.71183,15.940
2022-05-24 20:14:04.481971,29907,1.14086,6.3,100.0,0.00744,1005.5,0,18.968,16.936,1.10633,0.70452,16.970
2022-05-24 20:19:21.258410,29933,1.14185,6.1,100.0,0.00732,1005.5,0,19.922,17.737,1.10543,0.69099,17.773
2022-05-25 12:49:34.539111,29970,1.14326,14.9,78.3,0.01000,1007.4,0,5.283,13.061,1.14486,1.01345,13.081
2022-05-25 12:55:29.686653,29980,1.14365,14.9,80.8,0.01032,1007.4,0,5.433,12.834,1.14486,1.01015,12.853
2022-05-25 12:58:43.887223,30047,1.14620,15.2,80.2,0.01041,1007.4,0,6.220,13.857,1.14621,1.00007,13.880
2022-05-25 14:24:06.887769,29705,1.13316,14.6,97.4,0.01222,1006.8,0,3.027,6.212,1.14352,1.09491,6.207
2022-05-25 14:34:13.313595,29728,1.13403,14.4,98.1,0.01214,1006.7,0,3.646,6.628,1.14262,1.07810,6.625
2022-05-25 14:38:39.321001,29734,1.13426,14.3,97.9,0.01206,1006.6,0,3.893,6.806,1.14218,1.07179,6.804
2022-05-25 14:42:56.182664,29743,1.13461,14.2,98.2,0.01203,1006.6,0,4.203,6.976,1.14173,1.06435,6.974
2022-05-25 14:48:24.403597,29762,1.13533,14.1,98.5,0.01200,1006.5,0,4.599,7.289,1.14128,1.05344,7.288
2022-05-25 14:53:59.942057,29777,1.13590,14.0,98.7,0.01195,1006.5,0,5.041,7.571,1.14083,1.04407,7.571
