timestamp,ADC,V,T,rH,aH,P,fanSpeed,V0,Rs/R0,CH4,CH4LR
2022-06-28 12:30:31.090385,29744,1.13464,40,26,0.01314,1000,0,1.25733,2.10892,0.10,0.07
2022-06-28 12:32:32.081734,29741,1.13453,40,25,0.01264,1000,0,1.25778,2.11507,0.14,0.12
2022-06-28 12:34:33.081957,29760,1.13525,40,28,0.01424,1001,0,1.25733,2.09735,0.02,-0.00
2022-06-28 12:36:34.082233,29808,1.13708,40,31,0.01576,1001,0,1.25643,2.05549,0.16,0.13
2022-06-28 12:38:35.082498,29861,1.13911,40,34,0.01690,1001,0,1.25554,2.01145,0.39,0.37
2022-06-28 12:40:36.082761,29906,1.14082,39,36,0.01775,1001,0,1.25419,1.97050,0.64,0.61
2022-06-28 12:42:37.083026,29945,1.14231,39,38,0.01845,1001,0,1.25330,1.93811,0.84,0.81
2022-06-28 12:44:38.083283,29976,1.14349,39,39,0.01893,1001,0,1.25240,1.91147,1.02,1.00
2022-06-28 12:46:39.083532,29995,1.14422,38,41,0.01949,1001,0,1.25061,1.88496,1.12,1.09
2022-06-28 12:48:40.083754,30009,1.14475,38,42,0.01953,1001,0,1.24971,1.86926,1.26,1.24
2022-06-28 12:50:41.084057,30017,1.14506,38,42,0.01944,1001,0,1.24882,1.85707,1.39,1.37
2022-06-28 12:52:42.084325,30021,1.14521,38,42,0.01944,1001,0,1.24792,1.84738,1.46,1.44
2022-06-28 12:54:43.084585,30020,1.14517,38,43,0.01953,1001,0,1.24658,1.83690,1.48,1.46
2022-06-28 12:56:44.085092,30019,1.14513,37,44,0.01956,1001,0,1.24568,1.83010,1.50,1.48
2022-06-28 12:58:45.085360,30022,1.14525,37,44,0.01974,1001,0,1.24523,1.82460,1.50,1.48
2022-06-28 13:00:46.085613,30032,1.14563,37,45,0.02014,1000,0,1.24523,1.81890,1.48,1.46
2022-06-28 13:02:47.085879,30046,1.14616,37,46,0.02036,1001,0,1.24523,1.81101,1.54,1.52
2022-06-28 13:04:48.086145,30056,1.14655,37,46,0.02055,1000,0,1.24478,1.80159,1.59,1.57
2022-06-28 13:06:49.086433,30060,1.14670,37,46,0.02043,1000,0,1.24434,1.79573,1.68,1.65
2022-06-28 13:08:50.088510,30060,1.14670,37,47,0.02050,1000,0,1.24344,1.78843,1.69,1.67
2022-06-28 13:10:51.089372,30062,1.14677,37,48,0.02060,1000,0,1.24254,1.78011,1.71,1.69
2022-06-28 15:21:37.861574,29642,1.13075,35,34,0.01349,1000,0,1.23403,1.96750,0.24,0.21
2022-06-28 15:23:39.853967,29661,1.13148,35,39,0.01529,1001,0,1.23358,1.94997,0.02,-0.01
2022-06-28 15:25:41.854208,29708,1.13327,35,43,0.01695,1001,0,1.23403,1.92213,0.00,-0.02
2022-06-28 15:27:43.854486,29760,1.13525,35,46,0.01831,1001,0,1.23448,1.89194,0.08,0.06
2022-06-28 15:29:45.854745,29808,1.13708,35,49,0.01942,1001,0,1.23493,1.86529,0.18,0.15
2022-06-28 15:31:47.855043,29849,1.13865,35,51,0.02021,1001,0,1.23493,1.83975,0.31,0.28
2022-06-28 15:33:49.855287,29884,1.13998,35,52,0.02080,1001,0,1.23493,1.81865,0.43,0.41
2022-06-28 15:35:51.857053,29915,1.14117,35,54,0.02160,1001,0,1.23493,1.80018,0.46,0.44
2022-06-28 15:37:53.856419,29940,1.14212,35,55,0.02177,1001,0,1.23493,1.78570,0.62,0.59
2022-06-28 15:39:55.856733,29955,1.14269,35,55,0.02177,1001,0,1.23493,1.77712,0.74,0.71
2022-06-28 15:41:57.856975,29963,1.14300,35,55,0.02178,1001,0,1.23403,1.76496,0.83,0.81
2022-06-28 15:43:59.857245,29971,1.14330,35,56,0.02184,1001,0,1.23403,1.76053,0.88,0.85
2022-06-28 15:46:01.857525,29979,1.14361,35,56,0.02191,1001,0,1.23358,1.75222,0.94,0.91
2022-06-28 15:48:03.857773,29985,1.14384,35,56,0.02185,1001,0,1.23358,1.74885,1.01,0.98
2022-06-28 15:50:05.858056,29990,1.14403,35,57,0.02200,1000,0,1.23313,1.74235,1.02,0.99
2022-06-28 15:52:07.860152,29997,1.14429,35,57,0.02205,1000,0,1.23313,1.73859,1.06,1.03
2022-06-28 15:54:09.860381,30002,1.14449,34,57,0.02199,1000,0,1.23269,1.73198,1.13,1.11
2022-06-28 15:56:11.860638,30006,1.14464,34,57,0.02196,1000,0,1.23269,1.72983,1.18,1.15
2022-06-28 15:58:13.860905,30011,1.14483,34,57,0.02201,1000,0,1.23269,1.72711,1.20,1.18
2022-06-28 16:00:15.861176,30016,1.14502,34,57,0.02200,1000,0,1.23269,1.72440,1.25,1.23
2022-06-28 16:02:17.861451,30019,1.14513,34,58,0.02223,1000,0,1.23269,1.72283,1.20,1.18
2022-06-28 16:04:19.861698,30023,1.14529,34,58,0.02225,1000,0,1.23224,1.71686,1.24,1.22
2022-06-28 16:06:21.861951,30026,1.14540,34,58,0.02221,1000,0,1.23224,1.71531,1.28,1.26
2022-06-28 16:08:23.862207,30029,1.14552,34,58,0.02219,1001,0,1.23224,1.71361,1.31,1.29
2022-06-28 16:10:25.862489,30035,1.14574,34,58,0.02207,1000,0,1.23224,1.71052,1.40,1.38
2022-06-28 16:12:27.864358,30039,1.14590,34,58,0.02206,1000,0,1.23224,1.70827,1.44,1.42
2022-06-28 16:14:29.864538,30045,1.14613,34,58,0.02211,1000,0,1.23224,1.70506,1.47,1.45
2022-06-28 16:16:31.864834,30051,1.14635,34,57,0.02210,1000,0,1.23269,1.70565,1.51,1.49
2022-06-28 16:18:33.865064,30052,1.14639,34,57,0.02208,1000,0,1.23269,1.70509,1.53,1.51
2022-06-28 16:20:35.865335,30052,1.14639,34,57,0.02200,1000,0,1.23179,1.69777,1.58,1.56
2022-06-28 16:22:37.865599,30049,1.14628,34,58,0.02199,1000,0,1.23134,1.69564,1.58,1.56
2022-06-28 16:24:39.865852,30046,1.14616,34,58,0.02211,1000,0,1.23089,1.69363,1.52,1.50
2022-06-28 16:26:41.866131,30052,1.14639,34,58,0.02200,1000,0,1.23045,1.68679,1.63,1.61
2022-06-28 16:28:43.866668,30056,1.14655,34,59,0.02204,1000,0,1.23045,1.68459,1.65,1.63
2022-06-28 16:30:45.867086,30064,1.14685,34,59,0.02223,1000,0,1.23045,1.68047,1.65,1.63
2022-06-28 16:32:47.867195,30057,1.14658,34,59,0.02236,1000,3,1.23045,1.68417,1.55,1.53
2022-06-28 16:34:49.869363,30075,1.14727,34,59,0.02227,1000,0,1.23045,1.67475,1.74,1.72
