timestamp,ADC,V,T,rH,aH,P,fanSpeed,V0,Rs/R0,CH4,CH4LR
2022-06-28 12:30:31.090385,29732,1.13419,39.83997,26.09454,0.01326,999.62456,0,1.14702,1.11648,11.56140,11.56140
2022-06-28 12:30:32.081475,29731,1.13415,39.83483,26.09476,0.01325,999.72610,0,1.14700,1.11672,11.54758,11.54758
2022-06-28 12:30:33.081469,29734,1.13426,39.83997,26.09454,0.01326,999.67941,0,1.14702,1.11570,11.59905,11.59905
2022-06-28 12:30:34.081463,29733,1.13422,39.85025,26.08782,0.01326,999.69572,0,1.14704,1.11624,11.57617,11.57617
2022-06-28 12:30:35.081476,29731,1.13415,39.85025,26.06266,0.01325,999.69572,0,1.14697,1.11645,11.56243,11.56243
2022-06-28 12:30:36.081477,29733,1.13422,39.84511,26.06288,0.01325,999.68756,0,1.14696,1.11553,11.60511,11.60511
2022-06-28 12:30:37.081474,29732,1.13419,39.85025,26.04379,0.01324,999.72314,0,1.14693,1.11564,11.59921,11.59921
2022-06-28 12:30:38.081477,29735,1.13430,39.85539,26.04986,0.01325,999.67645,0,1.14696,1.11477,11.64480,11.64480
2022-06-28 12:30:39.081477,29734,1.13426,39.85025,26.02492,0.01323,999.72314,0,1.14688,1.11445,11.65496,11.65496
2022-06-28 12:30:40.081489,29734,1.13426,39.86052,26.00561,0.01323,999.65718,0,1.14687,1.11432,11.66296,11.66296
2022-06-28 12:30:41.081494,29736,1.13434,39.86052,25.99303,0.01322,999.65718,0,1.14684,1.11327,11.71285,11.71285
2022-06-28 12:30:42.081495,29735,1.13430,39.86052,26.01190,0.01323,999.65718,0,1.14688,1.11407,11.67585,11.67585
2022-06-28 12:30:43.081491,29735,1.13430,39.86566,26.02427,0.01324,999.66533,0,1.14693,1.11450,11.65879,11.65879
2022-06-28 12:30:44.081478,29733,1.13422,39.87080,26.01147,0.01324,999.70091,0,1.14691,1.11514,11.62802,11.62802
2022-06-28 12:30:45.081488,29735,1.13430,39.87594,26.02384,0.01325,999.65422,0,1.14696,1.11479,11.64875,11.64875
2022-06-28 12:30:46.081499,29737,1.13438,39.87080,26.00518,0.01323,999.70091,0,1.14690,1.11345,11.70965,11.70965
2022-06-28 12:30:47.081501,29736,1.13434,39.87080,25.99260,0.01323,999.64606,0,1.14687,1.11356,11.70279,11.70279
2022-06-28 12:30:48.081503,29735,1.13430,39.87080,25.97373,0.01322,999.67349,0,1.14682,1.11352,11.70195,11.70195
2022-06-28 12:30:49.081498,29737,1.13438,39.88107,25.95442,0.01321,999.71722,0,1.14681,1.11262,11.74791,11.74791
2022-06-28 12:30:50.081503,29737,1.13438,39.88621,25.95420,0.01322,999.69795,0,1.14682,1.11277,11.74287,11.74287
2022-06-28 12:30:51.081511,29736,1.13434,39.88621,25.92904,0.01320,999.69795,0,1.14676,1.11259,11.74812,11.74812
2022-06-28 12:30:52.081505,29738,1.13441,39.88107,25.92925,0.01320,999.68979,0,1.14675,1.11168,11.79114,11.79114
2022-06-28 12:30:53.081516,29736,1.13434,39.89135,25.90995,0.01320,999.76095,0,1.14673,1.11231,11.76126,11.76126
2022-06-28 12:30:54.081487,29736,1.13434,39.89135,25.91624,0.01320,999.70610,0,1.14675,1.11245,11.75520,11.75520
2022-06-28 12:30:55.081504,29736,1.13434,39.89135,25.90995,0.01320,999.67868,0,1.14673,1.11231,11.76127,11.76127
2022-06-28 12:30:56.081498,29736,1.13434,39.89649,25.90344,0.01320,999.71426,0,1.14673,1.11232,11.76229,11.76229
2022-06-28 12:30:57.081519,29738,1.13441,39.90676,25.90929,0.01321,999.73056,0,1.14678,1.11198,11.78412,11.78412
2022-06-28 12:30:58.081515,29738,1.13441,39.90163,25.90951,0.01320,999.66756,0,1.14676,1.11183,11.78917,11.78917
2022-06-28 12:30:59.081517,29739,1.13445,39.90163,25.91580,0.01321,999.66756,0,1.14678,1.11159,11.80209,11.80209
2022-06-28 12:31:00.081522,29739,1.13445,39.91190,25.91537,0.01321,999.65644,0,1.14681,1.11188,11.79199,11.79199
2022-06-28 12:31:01.081518,29738,1.13441,39.91190,25.90278,0.01321,999.68387,0,1.14678,1.11198,11.78515,11.78515
2022-06-28 12:31:02.081518,29740,1.13449,39.92218,25.92122,0.01322,999.75503,0,1.14686,1.11192,11.79480,11.79480
2022-06-28 12:31:03.081525,29741,1.13453,39.91704,25.91515,0.01322,999.71945,0,1.14683,1.11126,11.82494,11.82494
2022-06-28 12:31:04.081518,29740,1.13449,39.92218,25.92122,0.01322,999.67275,0,1.14686,1.11192,11.79481,11.79481
2022-06-28 12:31:05.081533,29741,1.13453,39.92732,25.91471,0.01322,999.68090,0,1.14686,1.11155,11.81483,11.81483
2022-06-28 12:31:06.081543,29741,1.13453,39.93245,25.91449,0.01323,999.71648,0,1.14687,1.11169,11.80977,11.80977
2022-06-28 12:31:07.081541,29742,1.13457,39.92732,25.88955,0.01321,999.65348,0,1.14680,1.11060,11.85823,11.85823
2022-06-28 12:31:08.081538,29740,1.13449,39.92732,25.88955,0.01321,999.76318,0,1.14680,1.11137,11.82017,11.82017
2022-06-28 12:31:09.081543,29740,1.13449,39.93245,25.90191,0.01322,999.63420,0,1.14684,1.11179,11.80295,11.80295
2022-06-28 12:31:10.081545,29742,1.13457,39.93759,25.89540,0.01322,999.64236,0,1.14684,1.11103,11.84200,11.84200
2022-06-28 12:31:11.081549,29741,1.13453,39.93245,25.90191,0.01322,999.71648,0,1.14684,1.11141,11.82195,11.82195
2022-06-28 12:31:12.081548,29741,1.13453,39.94273,25.88260,0.01322,999.76022,0,1.14683,1.11128,11.83011,11.83011
2022-06-28 12:31:13.081537,29744,1.13464,39.94273,25.87631,0.01322,999.67794,0,1.14681,1.10999,11.89334,11.89334
2022-06-28 12:31:14.081560,29742,1.13457,39.94787,25.89496,0.01323,999.71352,0,1.14688,1.11132,11.83187,11.83187
2022-06-28 12:31:15.081542,29742,1.13457,39.95300,25.87587,0.01322,999.69424,0,1.14684,1.11104,11.84511,11.84511
2022-06-28 12:31:16.081551,29742,1.13457,39.94787,25.86980,0.01322,999.71352,0,1.14681,1.11076,11.85628,11.85628
2022-06-28 12:31:17.081556,29742,1.13457,39.94787,25.88238,0.01322,999.71352,0,1.14684,1.11104,11.84407,11.84407
2022-06-28 12:31:18.081567,29742,1.13457,39.95300,25.88216,0.01322,999.72167,0,1.14686,1.11118,11.83901,11.83901
2022-06-28 12:31:19.081560,29744,1.13464,39.96328,25.88173,0.01323,999.73798,0,1.14689,1.11070,11.86693,11.86693
2022-06-28 12:31:20.081567,29745,1.13468,39.95814,25.86307,0.01322,999.72982,0,1.14683,1.10976,11.90942,11.90942
2022-06-28 12:31:21.081575,29743,1.13461,39.97356,25.85612,0.01323,999.80914,0,1.14686,1.11081,11.86220,11.86220
2022-06-28 12:31:22.081573,29744,1.13464,39.96328,25.85656,0.01322,999.73798,0,1.14683,1.11014,11.89140,11.89140
2022-06-28 12:31:23.081577,29745,1.13468,39.97356,25.83095,0.01321,999.69943,0,1.14680,1.10948,11.92484,11.92484
2022-06-28 12:31:24.081567,29747,1.13476,39.96842,25.83746,0.01321,999.71870,0,1.14680,1.10872,11.96198,11.96198
2022-06-28 12:31:25.081567,29744,1.13464,39.97356,25.84354,0.01322,999.72686,0,1.14683,1.11015,11.89350,11.89350
2022-06-28 12:31:26.081579,29744,1.13464,39.97869,25.83073,0.01322,999.78987,0,1.14682,1.11001,11.90068,11.90068
2022-06-28 12:31:27.081585,29748,1.13480,39.98383,25.81163,0.01321,999.74316,0,1.14678,1.10821,11.99044,11.99044
2022-06-28 12:31:28.081572,29747,1.13476,39.98897,25.82400,0.01322,999.75132,0,1.14683,1.10901,11.95391,11.95391
2022-06-28 12:31:29.081564,29745,1.13468,39.98383,25.80534,0.01321,999.74316,0,1.14677,1.10921,11.93925,11.93925
2022-06-28 12:31:30.081595,29745,1.13468,39.98897,25.81771,0.01322,999.75132,0,1.14682,1.10964,11.92188,11.92188
2022-06-28 12:31:31.081581,29745,1.13468,39.99411,25.80490,0.01321,999.73204,0,1.14680,1.10950,11.92909,11.92909
2022-06-28 12:31:32.081592,29747,1.13476,39.99411,25.79232,0.01321,999.75947,0,1.14677,1.10845,11.97961,11.97961
2022-06-28 12:31:33.081588,29747,1.13476,39.99411,25.80490,0.01321,999.70461,0,1.14680,1.10873,11.96729,11.96729
2022-06-28 12:31:34.081589,29748,1.13480,40.00438,25.81076,0.01322,999.69349,0,1.14685,1.10878,11.97006,11.97006
2022-06-28 12:31:35.081604,29747,1.13476,40.00438,25.79188,0.01321,999.74835,0,1.14680,1.10874,11.96943,11.96943
2022-06-28 12:31:36.081595,29748,1.13480,40.00438,25.80447,0.01322,999.80321,0,1.14683,1.10864,11.97621,11.97621
2022-06-28 12:31:37.081597,29748,1.13480,40.01466,25.82291,0.01324,999.79208,0,1.14691,1.10935,11.94755,11.94755
2022-06-28 12:31:38.081601,29747,1.13476,40.01980,25.80381,0.01323,999.74538,0,1.14688,1.10946,11.94184,11.94184
2022-06-28 12:31:39.081601,29749,1.13483,40.01980,25.81639,0.01324,999.71795,0,1.14691,1.10897,11.96772,11.96772
2022-06-28 12:31:40.081624,29750,1.13487,40.01466,25.80403,0.01323,999.73722,0,1.14687,1.10817,12.00427,12.00427
2022-06-28 12:31:41.081611,29750,1.13487,40.01980,25.80381,0.01323,999.69052,0,1.14688,1.10831,11.99917,11.99917
2022-06-28 12:31:42.081609,29746,1.13472,40.01980,25.79122,0.01322,999.69052,0,1.14685,1.10956,11.93507,11.93507
2022-06-28 12:31:43.081614,29749,1.13483,40.03521,25.78427,0.01323,999.68754,0,1.14688,1.10870,11.98327,11.98327
2022-06-28 12:31:44.081610,29748,1.13480,40.03521,25.80944,0.01324,999.71497,0,1.14694,1.10965,11.93951,11.93951
2022-06-28 12:31:45.081613,29748,1.13480,40.03007,25.80337,0.01324,999.73425,0,1.14691,1.10936,11.95076,11.95076
